experiment	experiment_id	condition	condition_id	stimulus_id	stimulus_name	page_id	item_id	text	question_id	question	response_true	distractor_1	distractor_2	distractor_3
Reveil-en	2	real	1	1	Bottle-Message	1	1	"101-Year-Old Bottle Message@#@Angela Erdmann never knew her grandfather. He died in 1946, six years before she was born. But, on Tuesday 8th April, 2014, she described the extraordinary moment when she received a message in a bottle, 101 years after he had lobbed it into the Baltic Sea."	1	Who threw the bottle into the Baltic Sea?	Angela Erdmann’s grandfather	Angela Erdmann	A museum worker	A fisherman
Reveil-en	2	real	1	1	Bottle-Message	2	2	"Thought to be the world’s oldest message in a bottle, it was presented to Erdmann by the museum that is now exhibiting it in Germany."	2	What is special about the bottle?	 The oldest known message in it	It’s the oldest bottle	It’s a new discovery	It was found in the ocean
Reveil-en	2	real	1	1	Bottle-Message	3	3	"“It was very surprising,” Angela Erdmann, 62, said, recalling how she found out about the bottle. “A man stood at my door and told me he had post from my grandfather. He then told me that a message in a bottle had been found and that the name that was on the card was that of my grandfather.”"	3	Who was the message in the bottle from?	Angela’s grandfather	A sailor	A museum worker	Angela
Reveil-en	2	real	1	1	Bottle-Message	4	4	Her visitor was a genealogical researcher who had managed to track her down in Berlin after the letter was given to the International Maritime Museum in the northern port city of Hamburg.	4	Who was Angela’s visitor?	An ancestry researcher	A museum representative from Hamburg	A postman	A journalist
Reveil-en	2	real	1	1	Bottle-Message	5	5	"The brown beer bottle, which had been in the water for 101 years, was found in the catch of Konrad Fischer, a fisherman, who had been out in the Baltic Sea off the northern city of Kiel. Holger von Neuhoff, curator for ocean and science at the museum, said this bottled message was the oldest he had come across."	5	How was the bottle discovered?	A fisherman discovered it	It washed up on the shore of Kiel	Holger von Neuhoff discovered it	A boy discovered it while playing in the sea
Reveil-en	2	real	1	1	Bottle-Message	6	6	"“There are documents that have been found without the bottle that are older and are in the museum,” he said. “But, with the bottle and the document, this is certainly the oldest at the moment. It is in extremely good condition.”"	6	Why is this message special?	It came with a bottle	It's handwritten	It's from a famous person	It was found in the ocean
Reveil-en	2	real	1	1	Bottle-Message	7	7	"Researchers believe Erdmann’s grandfather, Richard Platz, threw the bottle in the sea while on a hike with a nature appreciation group in 1913. He was 20 years old at the time."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	1	Bottle-Message	8	8	"Much of the postcard was indecipherable, although the address in Berlin on the front of the card was legible, as was the author’s polite request that the note be sent by the finder to his home address."	7	What part of the postcard was clear?	The Berlin address	The sender’s name	The date	The drawing
Reveil-en	2	real	1	1	Bottle-Message	9	9	"“He also included two stamps from that time that were also in the bottle, so the finder would not incur a cost,” Erdmann said. “But he did not think it would take 101 years.”"	8	Where did Richard Platz want the postcard to end up?	His home	In the hands of whomever found it	Floating in the sea	At a museum
Reveil-en	2	real	1	1	Bottle-Message	10	10	"She said she was moved by the arrival of the message, although she had not known her grandfather because he died, at the age of 54, six years before she was born."	9	Why hadn’t Angela known her grandfather?	He died before she was born	He lived far away	He was adopted	She never met him
Reveil-en	2	real	1	1	Bottle-Message	11	11	"“I knew very little about my grandfather, but I found out that he was a writer who was very open-minded, and believed in freedom and that everyone should respect each other,” she said."	10	What kind of person was Angela’s grandfather?	Open-minded and respectful	Rich and secretive	Strict and serious	Quiet and shy
Reveil-en	2	real	1	1	Bottle-Message	12	12	“He did a lot for the young and later traveled with his wife and two daughters. It was wonderful because I could see where my roots came from.”	11	What did Angela feel she discovered?	Her roots	Her family’s wealth	A new tradition	A distant relative
Reveil-en	2	real	1	1	Bottle-Message	13	13	"Like her grandfather, Erdmann said, she also liked culture and traveling around the world. She described herself as open-minded, too. “What he taught his two daughters, my mother taught me and I have then given to my sons,” she said."	12	Which of the following characteristics does Angela Erdman share with her grandfather?	Open-mindedness	Love for writing	Opposition to polluting the sea	Love for museums
Reveil-en	2	real	1	1	Bottle-Message	14	14	"Despite her joy at receiving the bottled message, she said that she hoped others would not repeat what her grandfather had done and throw bottles with messages into the sea. “Today, the sea is so full of so many bottles and rubbish that more shouldn’t be thrown in there.” she said."	13	What does Angela think about throwing bottles in the sea?	It’s harmful	It’s fun	It’s a tradition	It should be encouraged
Reveil-en	2	real	1	1	Bottle-Message	15	15	"The message and the bottle will be on display at Hamburg’s Maritime Museum until the beginning of May 2014, after which experts will attempt to decipher the rest of the text. It is not clear what will then happen to the bottle, but Erdmann hopes it will stay at the museum."		NA	NA	NA	NA	NA
Reveil-en	2	real	1	1	Bottle-Message	16	16	"“We want to make a few photos available to put with the bottle and give it a face, so visitors can see the young man who threw the bottle into the water,” she said."	14	What does Erdmann want to happen to the bottle after the exhibit?	She wants it to remain at the Hamburg Maritime Museum	She does not make it clear what she wants to happen to the bottle	She wants museum visitors to be able to take photos with it	She wants to move it to her apartment and keep it for herself
