experiment	experiment_id	condition	condition_id	stimulus_id	stimulus_name	page_id	item_id	text	question_id	question	response_true	distractor_1	distractor_2	distractor_3
reveil-zh	1	real	1	1	Bottle-Message	1	1	一百零一年前的漂流瓶@#@杨丹丹从未见过她的祖父。他去世于一九四六年，那时她尚未出生。但在二零一四年四月八日星期二，她经历了一件匪夷所思的事，她收到了一个漂流瓶！		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	2	2	这是她的祖父一百零一年前扔进黄河里的。大家都认为这是世界上最古老的漂流瓶。该漂流瓶正在一个博物馆里面展出，博物馆方联系且告知了杨丹丹此事。	1	是谁把漂流瓶扔进了黄河？	杨丹丹的祖父	杨丹丹	博物馆的一个工作人员	一个渔夫
reveil-zh	1	real	1	1	Bottle-Message	3	3	“这太不可思议了，”六十二岁的杨丹丹回忆起自己得知漂流瓶消息的那一天，“再平凡不过的某一天，突然有人敲响了我的家门。他站在门口，对我说，他这边有我祖父的书信。”		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	4	4	随后，杨丹丹从他那边得知，一个漂流瓶被意外发现，瓶中藏有一封书信，而信上赫然署着她祖父的名字。杨丹丹的这名访客是一名家谱研究员，经过一番寻访，他辗转找到了身在上海的她，尽管此时这封信早已被送往中国北部港口城市大连的海事博物馆。	2	杨丹丹的访客是什么身份？	家谱研究员	博物馆工作人员	邮递员	记者
reveil-zh	1	real	1	1	Bottle-Message	5	5	这只透明的酒瓶在水中漂流了有一百零一年了，最终被一名叫陈实的渔夫捕获，当时，他正驾着小船，在黄河流经中国北部城市济南的河域作业。博物馆的海洋与科学馆馆长王刚感慨地说，这是他所见过的最古老的漂流瓶。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	6	6	他表示：“我们曾发现过更古老的书信，但它们不是以漂流瓶的形式，它们如今都被珍藏在博物馆中。”他补充道：“然而，这封信至今仍与瓶子一同保存完好。这无疑是目前发现的最古老的漂流瓶，而且它历经百年风霜雨雪，依旧完好如初，实属难能可贵。”	3	这个瓶子是如何被发现的？	由一名叫陈实的渔夫发现	它被冲上了黄河的河岸	由海洋与科学馆馆长王刚发现	一个小男孩在河边玩耍时发现的
reveil-zh	1	real	1	1	Bottle-Message	7	7	研究人员推测，一九一三年，年仅二十岁的杨志远在一次大学生远足中将漂流瓶投入河中。信件大部分已模糊不清，唯信封上的上海地址仍清晰可辨。他在信中礼貌请求发现者将信件寄回他的家庭住址，并附上两张邮票，以免对方承担邮资。		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	8	8	“他一定没想到，这封信竟然花了一百零一年才送达。”杨丹丹说。她表示，虽从未见过祖父——他在她出生前六年去世，享年54岁——但收到这封跨越百年的信，依然令她深受感动，仿佛与祖父穿越时空建立了联系。	4	杨志远希望这封明信片最终抵达何处？	他的家中	由发现者自行保存	继续随河水漂流	被送往博物馆收藏
reveil-zh	1	real	1	1	Bottle-Message	9	9	“我对祖父了解不多，后来才知道他是一位思想开明、崇尚自由、尊重他人的作家。”杨丹丹说。“他年轻时乐于助人，与妻子和两个女儿一同游历全国。了解他的经历让我十分欣慰，也让我更理解自己的性格。”		NA	NA	NA	NA	NA
reveil-zh	1	real	1	1	Bottle-Message	10	10	和祖父一样，杨丹丹热爱文化、喜欢旅行，崇尚思想的开放。“祖父传给他子女的价值观，我母亲延续给我，如今我也传给了我的孩子。”尽管收到漂流瓶的信让她感动，她仍不鼓励人们效仿。“如今黄河已有大量塑料垃圾，真的不该再往里面扔东西了。”她说。	5	以下哪项是杨丹丹与她的祖父共同拥有的特质？	思想开明	热爱写作	反对污染黄河	热爱博物馆
